type	x	y	z	density
t = 0
0	1	0	0	0.066806
0	1	0	1	0.133612
0	1	0	2	0.300626
0	1	0	3	0.334029
0	1	0	4	0.367432
0	1	0	5	1.035491
0	1	0	6	2.371608
0	1	0	7	2.371608
0	1	0	8	1.402923
0	1	0	9	2.104384
0	1	0	10	1.068894
0	1	0	11	0.801670
0	1	0	12	1.169102
0	1	0	13	0.768267
0	1	0	14	1.135699
0	1	0	15	0.567850
0	1	0	16	0.567850
0	1	0	17	0.868476
0	1	0	18	0.233820
0	1	0	19	0.300626
0	1	1	0	0.066806
0	1	1	1	0.066806
0	1	1	2	0.100209
0	1	1	3	0.100209
0	1	1	4	1.002088
0	1	1	5	1.436326
0	1	1	6	1.269311
0	1	1	7	1.169102
0	1	1	8	0.734864
0	1	1	9	1.102296
0	1	1	10	1.670146
0	1	1	11	1.469729
0	1	1	12	2.004175
0	1	1	13	1.002088
0	1	1	14	0.868476
0	1	1	15	0.200418
0	1	1	16	0.033403
0	1	1	17	0.334029
0	1	1	18	0.300626
0	1	1	19	0.400835
0	1	2	0	0.133612
0	1	2	1	0.801670
0	1	2	2	1.536534
0	1	2	3	0.601253
0	1	2	4	0.901879
0	1	2	5	1.302714
0	1	2	6	0.534447
0	1	2	7	0.768267
0	1	2	8	0.467641
0	1	2	9	0.801670
0	1	2	10	1.402923
0	1	2	11	1.803758
0	1	2	12	1.603340
0	1	2	13	1.336117
0	1	2	14	1.235908
0	1	2	15	0.267223
0	1	2	16	0.167015
0	1	2	17	0.835073
0	1	2	18	0.267223
0	1	2	19	0.100209
0	1	3	0	1.002088
0	1	3	1	2.772443
0	1	3	2	2.972860
0	1	3	3	1.903967
0	1	3	4	0.400835
0	1	3	5	0.367432
0	1	3	6	2.171190
0	1	3	7	1.202505
0	1	3	8	0.167015
0	1	3	9	0.734864
0	1	3	10	0.467641
0	1	3	11	0.835073
0	1	3	12	1.269311
0	1	3	13	0.567850
0	1	3	14	0.668058
0	1	3	15	0.434238
0	1	3	16	0.534447
0	1	3	17	1.202505
0	1	3	18	1.135699
0	1	3	19	0.133612
0	1	4	0	1.068894
0	1	4	1	2.237996
0	1	4	2	1.937370
0	1	4	3	1.336117
0	1	4	4	0.701461
0	1	4	5	1.369520
0	1	4	6	3.039666
0	1	4	7	1.870564
0	1	4	8	0.968685
0	1	4	9	0.334029
0	1	4	10	0.033403
0	1	4	11	0.167015
0	1	4	12	0.367432
0	1	4	13	0.668058
0	1	4	14	0.501044
0	1	4	15	0.167015
0	1	4	16	0.601253
0	1	4	17	0.567850
0	1	4	18	0.567850
0	1	4	19	0.567850
0	1	5	0	1.269311
0	1	5	1	1.202505
0	1	5	2	0.567850
0	1	5	3	1.202505
0	1	5	4	0.935282
0	1	5	5	1.336117
0	1	5	6	2.638831
0	1	5	7	2.137787
0	1	5	8	2.304802
0	1	5	9	0.668058
0	1	5	10	0.267223
0	1	5	11	1.035491
0	1	5	12	0.868476
0	1	5	13	0.835073
0	1	5	14	1.903967
0	1	5	15	0.434238
0	1	5	16	0.501044
0	1	5	17	0.300626
0	1	5	18	0.801670
0	1	5	19	1.102296
0	1	6	0	1.135699
0	1	6	1	0.601253
0	1	6	2	0.534447
0	1	6	3	1.002088
0	1	6	4	1.035491
0	1	6	5	1.169102
0	1	6	6	1.503132
0	1	6	7	2.104384
0	1	6	8	0.868476
0	1	6	9	1.135699
0	1	6	10	1.102296
0	1	6	11	1.302714
0	1	6	12	1.135699
0	1	6	13	1.736952
0	1	6	14	2.037578
0	1	6	15	0.868476
0	1	6	16	0.434238
0	1	6	17	0.734864
0	1	6	18	1.202505
0	1	6	19	0.768267
0	1	7	0	1.937370
0	1	7	1	1.135699
0	1	7	2	0.334029
0	1	7	3	1.235908
0	1	7	4	1.770355
0	1	7	5	1.402923
0	1	7	6	1.903967
0	1	7	7	0.868476
0	1	7	8	0.400835
0	1	7	9	1.369520
0	1	7	10	1.803758
0	1	7	11	1.269311
0	1	7	12	0.634656
0	1	7	13	0.467641
0	1	7	14	1.169102
0	1	7	15	1.035491
0	1	7	16	0.400835
0	1	7	17	1.002088
0	1	7	18	1.269311
0	1	7	19	0.801670
0	1	8	0	1.903967
0	1	8	1	0.901879
0	1	8	2	0.367432
0	1	8	3	0.935282
0	1	8	4	1.169102
0	1	8	5	1.302714
0	1	8	6	0.801670
0	1	8	7	0.601253
0	1	8	8	0.801670
0	1	8	9	0.534447
0	1	8	10	0.868476
0	1	8	11	0.801670
0	1	8	12	1.035491
0	1	8	13	1.169102
0	1	8	14	0.601253
0	1	8	15	0.066806
0	1	8	16	0.768267
0	1	8	17	1.703549
0	1	8	18	2.137787
0	1	8	19	1.636743
0	1	9	0	1.035491
0	1	9	1	0.835073
0	1	9	2	0.668058
0	1	9	3	0.968685
0	1	9	4	1.402923
0	1	9	5	1.870564
0	1	9	6	0.668058
0	1	9	7	0.267223
0	1	9	8	0.467641
0	1	9	9	0.100209
0	1	9	10	0.167015
0	1	9	11	0.901879
0	1	9	12	1.336117
0	1	9	13	1.536534
0	1	9	14	0.300626
0	1	9	15	0.100209
0	1	9	16	1.002088
0	1	9	17	2.171190
0	1	9	18	2.538622
0	1	9	19	2.572025
0	1	10	0	1.068894
0	1	10	1	0.935282
0	1	10	2	0.935282
0	1	10	3	1.035491
0	1	10	4	1.636743
0	1	10	5	0.968685
0	1	10	6	0.434238
0	1	10	7	0.434238
0	1	10	8	0.534447
0	1	10	9	0.901879
0	1	10	10	1.002088
0	1	10	11	0.901879
0	1	10	12	2.371608
0	1	10	13	1.636743
0	1	10	14	0.534447
0	1	10	15	0.033403
0	1	10	16	0.334029
0	1	10	17	1.603340
0	1	10	18	3.073069
0	1	10	19	2.471816
0	1	11	0	1.369520
0	1	11	1	1.569937
0	1	11	2	1.169102
0	1	11	3	1.102296
0	1	11	4	1.870564
0	1	11	5	1.770355
0	1	11	6	0.334029
0	1	11	7	0.601253
0	1	11	8	1.235908
0	1	11	9	1.503132
0	1	11	10	0.935282
0	1	11	11	0.367432
0	1	11	12	0.734864
0	1	11	13	0.768267
0	1	11	14	0.334029
0	1	11	15	0.200418
0	1	11	16	0.534447
0	1	11	17	1.135699
0	1	11	18	2.972860
0	1	11	19	1.569937
0	1	12	0	1.569937
0	1	12	1	1.135699
0	1	12	2	0.567850
0	1	12	3	1.636743
0	1	12	4	1.102296
0	1	12	5	1.068894
0	1	12	6	0.501044
0	1	12	7	1.068894
0	1	12	8	1.837161
0	1	12	9	1.135699
0	1	12	10	1.068894
0	1	12	11	1.068894
0	1	12	12	0.868476
0	1	12	13	0.835073
0	1	12	14	1.369520
0	1	12	15	0.868476
0	1	12	16	0.400835
0	1	12	17	0.601253
0	1	12	18	1.736952
0	1	12	19	2.004175
0	1	13	0	2.605428
0	1	13	1	3.373695
0	1	13	2	2.438413
0	1	13	3	3.306889
0	1	13	4	1.670146
0	1	13	5	0.968685
0	1	13	6	0.434238
0	1	13	7	1.469729
0	1	13	8	1.302714
0	1	13	9	1.402923
0	1	13	10	0.267223
0	1	13	11	0.567850
0	1	13	12	0.835073
0	1	13	13	0.734864
0	1	13	14	0.835073
0	1	13	15	0.200418
0	1	13	16	0.734864
0	1	13	17	0.567850
0	1	13	18	1.035491
0	1	13	19	2.705637
0	1	14	0	3.106472
0	1	14	1	2.805846
0	1	14	2	3.373695
0	1	14	3	3.373695
0	1	14	4	2.538622
0	1	14	5	1.336117
0	1	14	6	1.937370
0	1	14	7	0.901879
0	1	14	8	0.601253
0	1	14	9	0.434238
0	1	14	10	0.100209
0	1	14	11	0.100209
0	1	14	12	0.434238
0	1	14	13	0.267223
0	1	14	14	0.668058
0	1	14	15	1.302714
0	1	14	16	0.901879
0	1	14	17	1.870564
0	1	14	18	2.004175
0	1	14	19	1.469729
