type	x	y	z	density
t = 0
1	3	3	3	-0.010460
1	3	3	4	1.553289
1	3	3	5	3.008994
1	3	3	6	2.828228
1	3	3	7	1.532065
1	3	4	0	0.003909
1	3	4	1	0.000000
1	3	4	2	0.000000
1	3	4	3	0.027086
1	3	4	4	-0.074237
1	3	4	5	0.344117
1	3	4	6	-0.088174
1	3	4	7	-0.048124
1	3	5	0	0.000000
1	3	5	1	0.000000
1	3	5	2	-0.007847
1	3	5	3	-0.004984
1	3	5	4	0.045314
1	3	5	5	1.365990
1	3	5	6	0.211253
1	3	5	7	-0.098128
1	3	6	0	0.004338
1	3	6	1	0.000000
1	3	6	2	-0.006216
1	3	6	3	-0.139827
1	3	6	4	1.117733
1	3	6	5	0.572269
1	3	6	6	0.909434
1	3	6	7	0.306623
1	3	7	0	0.004010
1	3	7	1	0.000000
1	3	7	2	0.002922
1	3	7	3	0.137132
1	3	7	4	0.167651
1	3	7	5	0.877507
1	3	7	6	-0.066377
1	3	7	7	0.204010
1	4	0	0	0.000000
1	4	0	1	0.000000
1	4	0	2	-0.008107
1	4	0	3	0.804864
1	4	0	4	1.424939
1	4	0	5	1.989769
1	4	0	6	0.498431
1	4	0	7	-0.031445
1	4	1	0	0.000000
1	4	1	1	0.000938
1	4	1	2	-0.008242
1	4	1	3	0.294328
1	4	1	4	0.898935
1	4	1	5	0.658898
1	4	1	6	0.355298
1	4	1	7	-0.015803
1	4	2	0	-0.026142
1	4	2	1	-0.032849
1	4	2	2	0.143904
1	4	2	3	-0.010921
1	4	2	4	0.411045
1	4	2	5	0.484270
1	4	2	6	0.393230
1	4	2	7	0.309239
1	4	3	0	0.155771
1	4	3	1	0.003064
1	4	3	2	0.014575
1	4	3	3	0.037275
1	4	3	4	0.216689
1	4	3	5	1.335736
1	4	3	6	2.110506
1	4	3	7	0.659546
1	4	4	0	0.001947
1	4	4	1	0.000000
1	4	4	2	0.000000
1	4	4	3	-0.147630
1	4	4	4	0.208476
1	4	4	5	2.569337
1	4	4	6	2.614018
1	4	4	7	0.493585
1	4	5	0	0.000000
1	4	5	1	0.000000
1	4	5	2	0.000221
1	4	5	3	-0.007651
1	4	5	4	0.093188
1	4	5	5	0.241649
1	4	5	6	-0.110041
1	4	5	7	0.003557
1	4	6	0	0.000000
1	4	6	1	0.000000
1	4	6	2	-0.010934
1	4	6	3	0.125297
1	4	6	4	0.106058
1	4	6	5	0.250641
1	4	6	6	0.919881
1	4	6	7	0.060498
1	4	7	0	0.000000
1	4	7	1	0.000000
1	4	7	2	0.000092
1	4	7	3	-0.010041
1	4	7	4	0.126716
1	4	7	5	0.293251
1	4	7	6	-0.027055
1	4	7	7	0.121057
1	5	0	0	-0.055368
1	5	0	1	0.000000
1	5	0	2	-0.006678
1	5	0	3	0.018227
1	5	0	4	-0.239625
1	5	0	5	2.364715
1	5	0	6	-0.058821
1	5	0	7	0.296024
1	5	1	0	0.000000
1	5	1	1	0.000000
1	5	1	2	-0.004291
1	5	1	3	-0.105860
1	5	1	4	0.866430
1	5	1	5	0.808588
1	5	1	6	0.537567
1	5	1	7	-0.005262
1	5	2	0	0.000010
1	5	2	1	0.000000
1	5	2	2	0.000000
1	5	2	3	0.003075
1	5	2	4	0.578332
1	5	2	5	0.363384
1	5	2	6	0.909499
1	5	2	7	0.643661
1	5	3	0	0.000001
1	5	3	1	0.000000
1	5	3	2	0.000000
1	5	3	3	0.002729
1	5	3	4	0.015288
1	5	3	5	0.789172
1	5	3	6	0.027826
1	5	3	7	0.134598
1	5	4	0	0.209584
1	5	4	1	-0.005493
1	5	4	2	0.000000
1	5	4	3	-0.016485
1	5	4	4	0.042845
1	5	4	5	0.680021
1	5	4	6	0.514422
1	5	4	7	0.040150
1	5	5	0	0.014467
1	5	5	1	0.015130
1	5	5	2	0.000000
1	5	5	3	0.000000
1	5	5	4	-0.078121
1	5	5	5	1.608567
1	5	5	6	3.037413
1	5	5	7	0.460443
1	5	6	0	-0.153984
1	5	6	1	-0.016803
1	5	6	2	0.000000
1	5	6	3	0.000000
1	5	6	4	0.000000
1	5	6	5	0.042760
1	5	6	6	-0.091366
1	5	6	7	-0.385384
1	5	7	0	-0.012411
1	5	7	1	-0.000075
1	5	7	2	0.000000
1	5	7	3	0.000000
1	5	7	4	-0.022759
1	5	7	5	0.007090
1	5	7	6	1.133263
1	5	7	7	0.105506
1	6	0	0	-0.070177
1	6	0	1	-0.051568
1	6	0	2	0.252841
1	6	0	3	0.194587
1	6	0	4	-0.135826
1	6	0	5	0.203902
1	6	0	6	1.242801
1	6	0	7	0.643824
1	6	1	0	0.000177
1	6	1	1	-0.023207
1	6	1	2	0.038453
1	6	1	3	0.237880
1	6	1	4	0.053559
1	6	1	5	0.115063
1	6	1	6	0.379618
1	6	1	7	-0.018749
1	6	2	0	0.000000
1	6	2	1	0.000000
1	6	2	2	0.000000
1	6	2	3	-0.009315
1	6	2	4	-0.028761
1	6	2	5	0.571957
1	6	2	6	0.079120
1	6	2	7	0.003415
1	6	3	0	0.000000
1	6	3	1	0.000000
1	6	3	2	0.000000
1	6	3	3	0.000000
1	6	3	4	-0.012173
1	6	3	5	0.480642
1	6	3	6	0.249183
1	6	3	7	0.002176
1	6	4	0	0.025694
1	6	4	1	-0.000433
1	6	4	2	0.001417
1	6	4	3	0.000000
1	6	4	4	-0.001171
1	6	4	5	-0.090125
1	6	4	6	0.008087
1	6	4	7	0.027008
1	6	5	0	0.604498
1	6	5	1	-0.360147
1	6	5	2	-0.072182
1	6	5	3	-0.025658
1	6	5	4	-0.004312
1	6	5	5	0.160960
1	6	5	6	1.274710
1	6	5	7	0.946676
1	6	6	0	2.658652
1	6	6	1	0.565321
1	6	6	2	-0.143434
1	6	6	3	0.206968
1	6	6	4	0.004080
1	6	6	5	-0.136574
1	6	6	6	1.022846
1	6	6	7	3.087219
1	6	7	0	-0.272674
1	6	7	1	-0.167897
1	6	7	2	-0.176892
1	6	7	3	0.425495
1	6	7	4	-0.012589
1	6	7	5	-0.047317
1	6	7	6	-0.275578
1	6	7	7	-0.105945
1	7	0	0	1.226083
1	7	0	1	0.397436
1	7	0	2	1.012058
1	7	0	3	0.066375
1	7	0	4	0.049496
1	7	0	5	0.419936
1	7	0	6	0.402110
1	7	0	7	0.402048
1	7	1	0	0.043401
1	7	1	1	0.064351
1	7	1	2	0.260074
1	7	1	3	0.085855
1	7	1	4	0.245415
1	7	1	5	0.013366
1	7	1	6	0.024263
1	7	1	7	0.204978
1	7	2	0	0.000000
1	7	2	1	0.000000
1	7	2	2	-0.062863
1	7	2	3	0.023201
1	7	2	4	0.296101
1	7	2	5	0.896594
1	7	2	6	1.933174
1	7	2	7	0.019206
1	7	3	0	-0.002072
1	7	3	1	0.000000
1	7	3	2	0.000000
1	7	3	3	0.002252
1	7	3	4	-0.073345
1	7	3	5	0.610569
1	7	3	6	0.517253
1	7	3	7	-0.084340
1	7	4	0	0.072999
1	7	4	1	0.107737
1	7	4	2	-0.021775
1	7	4	3	0.000000
1	7	4	4	-0.026515
1	7	4	5	0.205074
1	7	4	6	0.238425
1	7	4	7	1.796194
1	7	5	0	0.705759
1	7	5	1	0.712709
1	7	5	2	0.179434
1	7	5	3	-0.009155
1	7	5	4	-0.003948
1	7	5	5	0.507699
1	7	5	6	-0.255255
1	7	5	7	1.270761
1	7	6	0	0.774508
1	7	6	1	1.390832
1	7	6	2	0.379592
1	7	6	3	0.159362
1	7	6	4	0.250499
1	7	6	5	0.140491
1	7	6	6	0.171477
1	7	6	7	1.326106
1	7	7	0	5.102629
1	7	7	1	1.922942
1	7	7	2	0.920515
1	7	7	3	0.140389
1	7	7	4	0.501431
1	7	7	5	0.073290
1	7	7	6	3.357462
1	7	7	7	5.777990
t = 10000
0	0	0	0	0.531726
0	0	0	1	0.345609
0	0	0	2	0.020013
0	0	0	3	-0.058484
0	0	0	4	0.799047
0	0	0	5	2.155499
0	0	0	6	0.749391
0	0	0	7	0.453340
0	0	1	0	3.873871
0	0	1	1	0.023576
0	0	1	2	0.092240
0	0	1	3	-0.046564
0	0	1	4	0.069997
0	0	1	5	4.078156
0	0	1	6	-0.045490
0	0	1	7	3.405914
0	0	2	0	0.384895
0	0	2	1	-0.006248
0	0	2	2	0.013668
0	0	2	3	0.000000
0	0	2	4	0.000000
0	0	2	5	0.000000
0	0	2	6	0.000000
0	0	2	7	0.008592
