type	x	y	z	density
t = 0
0	5	1	3	0.640000
0	5	1	4	1.120000
0	5	1	5	0.000000
0	5	1	6	0.000000
0	5	1	7	0.000000
0	5	2	0	0.000000
0	5	2	1	0.000000
0	5	2	2	0.160000
0	5	2	3	0.320000
0	5	2	4	0.800000
0	5	2	5	0.320000
0	5	2	6	0.000000
0	5	2	7	0.000000
0	5	3	0	2.720000
0	5	3	1	1.600000
0	5	3	2	0.160000
0	5	3	3	1.760000
0	5	3	4	0.640000
0	5	3	5	0.640000
0	5	3	6	0.000000
0	5	3	7	2.240000
0	5	4	0	1.920000
0	5	4	1	4.480000
0	5	4	2	5.280000
0	5	4	3	3.040000
0	5	4	4	2.400000
0	5	4	5	0.800000
0	5	4	6	0.480000
0	5	4	7	2.560000
0	5	5	0	0.640000
0	5	5	1	1.920000
0	5	5	2	2.400000
0	5	5	3	2.880000
0	5	5	4	0.480000
0	5	5	5	1.280000
0	5	5	6	1.280000
0	5	5	7	0.160000
0	5	6	0	0.320000
0	5	6	1	0.640000
0	5	6	2	0.480000
0	5	6	3	0.480000
0	5	6	4	0.320000
0	5	6	5	0.320000
0	5	6	6	0.160000
0	5	6	7	0.320000
0	5	7	0	2.400000
0	5	7	1	1.280000
0	5	7	2	0.640000
0	5	7	3	2.240000
0	5	7	4	0.160000
0	5	7	5	0.000000
0	5	7	6	0.320000
0	5	7	7	1.120000
0	6	0	0	0.160000
0	6	0	1	1.440000
0	6	0	2	0.000000
0	6	0	3	0.480000
0	6	0	4	0.160000
0	6	0	5	0.000000
0	6	0	6	0.000000
0	6	0	7	0.160000
0	6	1	0	0.000000
0	6	1	1	0.000000
0	6	1	2	0.960000
0	6	1	3	0.960000
0	6	1	4	0.000000
0	6	1	5	0.160000
0	6	1	6	0.000000
0	6	1	7	0.000000
0	6	2	0	0.000000
0	6	2	1	0.000000
0	6	2	2	0.160000
0	6	2	3	0.000000
0	6	2	4	2.240000
0	6	2	5	1.280000
0	6	2	6	0.000000
0	6	2	7	0.000000
0	6	3	0	0.160000
0	6	3	1	0.640000
0	6	3	2	0.000000
0	6	3	3	0.000000
0	6	3	4	0.000000
0	6	3	5	0.000000
0	6	3	6	0.000000
0	6	3	7	1.120000
0	6	4	0	0.480000
0	6	4	1	0.640000
0	6	4	2	1.280000
0	6	4	3	0.160000
0	6	4	4	0.320000
0	6	4	5	0.160000
0	6	4	6	0.000000
0	6	4	7	0.640000
0	6	5	0	2.880000
0	6	5	1	3.680000
0	6	5	2	2.720000
0	6	5	3	1.120000
0	6	5	4	5.120000
0	6	5	5	6.400000
0	6	5	6	1.280000
0	6	5	7	4.000000
0	6	6	0	0.800000
0	6	6	1	0.960000
0	6	6	2	0.160000
0	6	6	3	0.480000
0	6	6	4	2.880000
0	6	6	5	2.080000
0	6	6	6	1.440000
0	6	6	7	1.760000
0	6	7	0	0.960000
0	6	7	1	1.600000
0	6	7	2	0.640000
0	6	7	3	0.320000
0	6	7	4	0.480000
0	6	7	5	0.000000
0	6	7	6	0.000000
0	6	7	7	0.320000
0	7	0	0	0.000000
0	7	0	1	0.000000
0	7	0	2	0.000000
0	7	0	3	1.440000
0	7	0	4	0.160000
0	7	0	5	0.160000
0	7	0	6	0.640000
0	7	0	7	0.000000
0	7	1	0	0.000000
0	7	1	1	0.000000
0	7	1	2	0.000000
0	7	1	3	0.800000
0	7	1	4	0.320000
0	7	1	5	0.800000
0	7	1	6	0.960000
0	7	1	7	0.000000
0	7	2	0	1.120000
0	7	2	1	0.800000
0	7	2	2	2.720000
0	7	2	3	2.240000
0	7	2	4	1.440000
0	7	2	5	1.760000
0	7	2	6	0.480000
0	7	2	7	0.800000
0	7	3	0	2.400000
0	7	3	1	1.600000
0	7	3	2	1.920000
0	7	3	3	0.640000
0	7	3	4	0.480000
0	7	3	5	1.120000
0	7	3	6	3.040000
0	7	3	7	2.400000
0	7	4	0	0.640000
0	7	4	1	3.040000
0	7	4	2	2.560000
0	7	4	3	2.080000
0	7	4	4	1.280000
0	7	4	5	0.640000
0	7	4	6	1.120000
0	7	4	7	2.080000
0	7	5	0	0.960000
0	7	5	1	1.280000
0	7	5	2	1.120000
0	7	5	3	1.440000
0	7	5	4	1.280000
0	7	5	5	0.480000
0	7	5	6	0.480000
0	7	5	7	1.600000
0	7	6	0	4.960000
0	7	6	1	1.760000
0	7	6	2	2.240000
0	7	6	3	1.920000
0	7	6	4	5.600000
0	7	6	5	4.800000
0	7	6	6	3.520000
0	7	6	7	4.960000
0	7	7	0	0.640000
0	7	7	1	0.960000
